Index,Heat_demand
551,19488.68561450014
552,17591.398013651862
553,18050.564502941485
554,17106.964370746886
555,18520.40036667863
556,16048.207011713734
557,16213.43031670269
558,15952.300743196292
559,16028.356429613834
560,15163.389596014187
561,14829.391779133017
562,13483.936396011268
563,15529.51457128955
564,15764.710387122632
565,14225.448965599868
566,13259.888892513884
567,14236.011371448047
568,16277.999266662737
569,17007.736910866468
570,13703.78219066154
571,16690.67832249681
572,16430.412622339198
573,15350.553104076675
574,16899.35784816214
575,17103.080009256842
576,14761.218010330093
577,17311.588783681582
578,17200.999513021932
579,17976.060750264412
580,16523.041909030333
581,15711.768344547512
582,14889.212334040618
583,15680.320604941824
584,15771.173963586682
585,13015.252032350827
586,13682.799094703769
587,14150.10598065196
588,13513.742835887051
589,13620.598644538313
590,13814.149745925984
591,15319.713377936936
592,16387.641493426
593,15461.99484734199
594,16363.582421088066
595,18115.440797396146
596,18373.963015176047
597,16077.160818784549
598,15763.60313030003
599,16467.922540858577
600,18303.799640025558
601,17228.0778948614
602,17049.77040214993
603,13854.185878598102
604,13329.604405647442
605,13845.708742776924
606,13651.049407875464
607,13895.843268629244
608,13739.430771716748
609,12731.921334623059
610,13281.320168581953
611,11163.450715061423
612,12452.521185478236
613,12592.886482939428
614,10868.333754348629
615,13618.375158545583
616,13670.579155409578
617,15037.201948910886
618,15194.951223467424
619,16580.921325454736
620,16481.01706318517
621,14971.02143039042
622,13661.934443624123
623,15647.161087497143
624,14473.679138790894
625,16908.303429555748
626,14743.287328074675
627,15414.39694960594
628,17090.0027149629
629,16603.467376138004
630,16906.322678684468
631,16225.182318590627
632,16458.490547157962
633,16862.444867156726
634,14970.053145310994
635,15117.341059479768
636,16682.27362034759
637,16257.87865476547
638,14069.66403012618
639,15871.371236176094
640,15068.15879225436
641,16874.901208980074
642,18519.2314544218
643,18156.799403378038
644,16581.19247262961
645,16700.356773902135
646,15726.745480125825
647,15718.674357648226
648,14948.524418913272
649,14285.887055279944
650,15496.58451564396
651,16746.02625392005
652,14473.230714260735
653,13084.347184181412
654,9929.211260465996
655,11799.804260882102
656,11948.965158403113
657,11079.599490528579
658,11379.916968862595
659,12505.737910955362
660,12277.222356302424
661,11883.683370426323
662,12208.517722092429
663,11062.561630147422
664,12106.430917529102
665,13863.627879049884
666,12422.163908717304
667,15401.413710979064
668,14130.449575962226
669,13123.5670025135
670,12767.019170356378
671,15691.8741330742
672,13916.069690848759
673,16801.932724654733
674,16545.73670552258
675,17880.75105825597
676,16490.227471650793
677,16706.377371129962
678,15409.24632321015
679,15378.51736279815
680,15933.407317178953
681,13943.849423920483
682,14869.261001684272
683,12597.66424751904
684,11405.864372941209
685,13123.663226822828
686,14233.837125887214
687,14495.654755158366
688,16338.558605887605
689,16012.07618867693
690,16793.974368832583
691,15620.207760743033
692,14550.739570606333
693,14801.586212960538
694,13903.03225456154
695,15828.2718300245
696,15602.159908491585
697,18311.74339994248
698,16759.860942787695
699,15295.445650599355
700,17191.700452384972
701,18267.780014860546
702,15545.442785705292
703,17492.132491081615
704,17982.23743757364
705,16672.727651395082
706,16246.281904487912
707,16810.696802472776
708,16018.092186588616
709,19038.12991308837
710,16986.66725556604
711,19593.28346735188
712,22141.873147595106
713,21110.036980793233
714,21850.92050331324
715,21919.32628468341
716,20529.11581428344
717,19545.400395380482
718,21656.954049866697
719,17563.85616940412
720,21112.32989220849
721,21701.135817454106
722,24037.864867563057
723,20943.47657388352
724,22124.308345721958
725,21746.005203885907
726,20722.508537471655
727,19528.62409630141
728,17817.902332239024
729,18005.126653349784
730,17132.1316618664
731,14766.899763724712
732,15577.665770590978
733,16553.77920595029
734,16327.637869330647
735,16422.307719418528
736,15097.564766773685
737,15787.667331407943
738,18602.555614147732
739,18439.55366970856
740,16573.375425917377
741,18157.06718405341
742,17142.194581091753
743,15841.126412620792
744,17101.105668938748
745,16825.506294685518
746,13826.494980173738
747,16059.630034983584
748,17587.523711794434
749,15856.030208343203
750,15488.001965627305
751,16389.899550810638
752,15395.149840946477
753,16818.816208276465
754,14058.385016700231
755,15931.358865675964
756,14756.464865753376
757,17189.285811804042
758,18550.543789588297
759,16925.614008758483
760,18747.49495909341
761,17533.024381136725
762,18211.64244558888
763,19855.64714700621
764,20195.79596365651
765,18957.22329573399
766,18380.40516520073
767,20606.13074857316
768,18710.146716021078
769,17623.533394628634
770,15962.218524342481
771,15259.447772327596
772,16375.336036602346
773,12965.664744201511
774,14748.401526183667
775,13188.386820165144
776,12978.531716996496
777,14263.75270363019
778,12358.343117510107
779,13118.410351722896
780,14117.338871305745
781,11842.637406977105
782,13932.7529756575
783,13700.779300302514
784,14177.080843233558
785,13353.45541084863
786,13706.326242367319
787,15461.201426149839
788,14251.925202099146
789,15152.32137380752
790,15340.363946998477
791,12265.00825343908
792,15078.111915160283
793,14366.838095086987
794,13548.492323475757
795,13567.9204888611
796,12361.392712304578
797,12063.724008166955
798,12082.182116402844
799,12126.223841841529
800,10117.160480569291
